seed_id,city,task_id,n_pool,req_level,req_kw,total_nominal,total_routine,total_stress,util_routine,util_stress,feas_routine,feas_stress
0,City-A,T1,800,1x,180.0,302352.786,106541.91505630019,70021.51464377178,0.0016894759203913519,0.002570638480411827,True,True
0,City-A,T1,800,5x,900.0,302352.786,106541.91505630019,70021.51464377178,0.00844737960195676,0.012853192402059137,True,True
0,City-A,T1,800,10x,1800.0,302352.786,106541.91505630019,70021.51464377178,0.01689475920391352,0.025706384804118274,True,True
0,City-A,T2,800,1x,260.0,302352.786,103746.84470211087,68346.36513502791,0.0025061003131858135,0.003804152561534666,True,True
0,City-A,T2,800,5x,1300.0,302352.786,103746.84470211087,68346.36513502791,0.012530501565929067,0.019020762807673328,True,True
0,City-A,T2,800,10x,2600.0,302352.786,103746.84470211087,68346.36513502791,0.025061003131858134,0.038041525615346655,True,True
0,City-A,T3,800,1x,200.0,302352.786,92556.56340065849,61190.49654936696,0.00216084081616385,0.003268481402804846,True,True
0,City-A,T3,800,5x,1000.0,302352.786,92556.56340065849,61190.49654936696,0.010804204080819248,0.01634240701402423,True,True
0,City-A,T3,800,10x,2000.0,302352.786,92556.56340065849,61190.49654936696,0.021608408161638497,0.03268481402804846,True,True
0,City-A,T4,800,1x,140.0,302352.786,104179.85060192873,69221.45629631347,0.0013438299171203468,0.0020224942884863287,True,True
0,City-A,T4,800,5x,700.0,302352.786,104179.85060192873,69221.45629631347,0.006719149585601734,0.010112471442431643,True,True
0,City-A,T4,800,10x,1400.0,302352.786,104179.85060192873,69221.45629631347,0.013438299171203469,0.020224942884863286,True,True
0,City-A,T5,800,1x,160.0,302352.786,93926.19682946359,60490.23840120547,0.0017034651183684443,0.0026450548754460104,True,True
0,City-A,T5,800,5x,800.0,302352.786,93926.19682946359,60490.23840120547,0.008517325591842222,0.013225274377230051,True,True
0,City-A,T5,800,10x,1600.0,302352.786,93926.19682946359,60490.23840120547,0.017034651183684444,0.026450548754460103,True,True
0,City-B,T1,500,1x,180.0,193349.859,81265.60607216781,52618.337399867116,0.0022149591776889138,0.0034208606522876297,True,True
0,City-B,T1,500,5x,900.0,193349.859,81265.60607216781,52618.337399867116,0.011074795888444568,0.017104303261438147,True,True
0,City-B,T1,500,10x,1800.0,193349.859,81265.60607216781,52618.337399867116,0.022149591776889136,0.03420860652287629,True,True
0,City-B,T2,500,1x,260.0,193349.859,80730.84068121952,53816.86623913332,0.003220578378796494,0.004831199179169952,True,True
0,City-B,T2,500,5x,1300.0,193349.859,80730.84068121952,53816.86623913332,0.01610289189398247,0.02415599589584976,True,True
0,City-B,T2,500,10x,2600.0,193349.859,80730.84068121952,53816.86623913332,0.03220578378796494,0.04831199179169952,True,True
0,City-B,T3,500,1x,200.0,193349.859,73722.15948188445,47156.816746011216,0.002712888518263569,0.0042411683782051955,True,True
0,City-B,T3,500,5x,1000.0,193349.859,73722.15948188445,47156.816746011216,0.013564442591317843,0.02120584189102598,True,True
0,City-B,T3,500,10x,2000.0,193349.859,73722.15948188445,47156.816746011216,0.027128885182635686,0.04241168378205196,True,True
0,City-B,T4,500,1x,140.0,193349.859,81859.39657900647,54052.01322287256,0.001710249596878951,0.002590097790118164,True,True
0,City-B,T4,500,5x,700.0,193349.859,81859.39657900647,54052.01322287256,0.008551247984394755,0.01295048895059082,True,True
0,City-B,T4,500,10x,1400.0,193349.859,81859.39657900647,54052.01322287256,0.01710249596878951,0.02590097790118164,True,True
0,City-B,T5,500,1x,160.0,193349.859,71904.2708443111,47645.964198455105,0.0022251807593798695,0.0033581018390889845,True,True
0,City-B,T5,500,5x,800.0,193349.859,71904.2708443111,47645.964198455105,0.011125903796899348,0.016790509195444923,True,True
0,City-B,T5,500,10x,1600.0,193349.859,71904.2708443111,47645.964198455105,0.022251807593798696,0.033581018390889845,True,True
0,City-C,T1,650,1x,180.0,261170.592,88310.54362419083,57293.64845334132,0.0020382617138673433,0.003141709506361565,True,True
0,City-C,T1,650,5x,900.0,261170.592,88310.54362419083,57293.64845334132,0.010191308569336716,0.015708547531807827,True,True
0,City-C,T1,650,10x,1800.0,261170.592,88310.54362419083,57293.64845334132,0.020382617138673433,0.03141709506361565,True,True
0,City-C,T2,650,1x,260.0,261170.592,90297.53356082168,59499.3992378709,0.002879369898014677,0.004369792020261476,True,True
0,City-C,T2,650,5x,1300.0,261170.592,90297.53356082168,59499.3992378709,0.014396849490073384,0.02184896010130738,True,True
0,City-C,T2,650,10x,2600.0,261170.592,90297.53356082168,59499.3992378709,0.02879369898014677,0.04369792020261476,True,True
0,City-C,T3,650,1x,200.0,261170.592,78850.12946055306,52518.5918160657,0.0025364574715131634,0.0038081752210808325,True,True
0,City-C,T3,650,5x,1000.0,261170.592,78850.12946055306,52518.5918160657,0.012682287357565818,0.019040876105404163,True,True
0,City-C,T3,650,10x,2000.0,261170.592,78850.12946055306,52518.5918160657,0.025364574715131635,0.038081752210808326,True,True
0,City-C,T4,650,1x,140.0,261170.592,87842.8821395287,58747.24895616884,0.0015937546286063963,0.002383090314653774,True,True
0,City-C,T4,650,5x,700.0,261170.592,87842.8821395287,58747.24895616884,0.007968773143031982,0.01191545157326887,True,True
0,City-C,T4,650,10x,1400.0,261170.592,87842.8821395287,58747.24895616884,0.015937546286063965,0.02383090314653774,True,True
0,City-C,T5,650,1x,160.0,261170.592,79251.47240893752,50965.40568115556,0.002018889935248145,0.0031393844091220477,True,True
0,City-C,T5,650,5x,800.0,261170.592,79251.47240893752,50965.40568115556,0.010094449676240723,0.01569692204561024,True,True
0,City-C,T5,650,10x,1600.0,261170.592,79251.47240893752,50965.40568115556,0.020188899352481447,0.03139384409122048,True,True
1,City-A,T1,800,1x,180.0,302352.786,105014.27868544504,68214.10968907594,0.001714052624587974,0.0026387502647245704,True,True
1,City-A,T1,800,5x,900.0,302352.786,105014.27868544504,68214.10968907594,0.00857026312293987,0.01319375132362285,True,True
1,City-A,T1,800,10x,1800.0,302352.786,105014.27868544504,68214.10968907594,0.01714052624587974,0.0263875026472457,True,True
1,City-A,T2,800,1x,260.0,302352.786,105156.51380410837,67691.40961892527,0.002472504941389965,0.0038409600488997467,True,True
1,City-A,T2,800,5x,1300.0,302352.786,105156.51380410837,67691.40961892527,0.012362524706949825,0.019204800244498735,True,True
1,City-A,T2,800,10x,2600.0,302352.786,105156.51380410837,67691.40961892527,0.02472504941389965,0.03840960048899747,True,True
1,City-A,T3,800,1x,200.0,302352.786,91825.0219227325,61762.13813132477,0.002178055564944955,0.0032382298613875737,True,True
1,City-A,T3,800,5x,1000.0,302352.786,91825.0219227325,61762.13813132477,0.010890277824724775,0.01619114930693787,True,True
1,City-A,T3,800,10x,2000.0,302352.786,91825.0219227325,61762.13813132477,0.02178055564944955,0.03238229861387574,True,True
1,City-A,T4,800,1x,140.0,302352.786,106780.24166473594,69016.51629016928,0.0013111039815733518,0.002028499952263479,True,True
1,City-A,T4,800,5x,700.0,302352.786,106780.24166473594,69016.51629016928,0.006555519907866759,0.010142499761317394,True,True
