seed_id,strategy,task_id,quantile
0,mhat_Q05,T1,0.3913702723716666
0,mhat_Q05,T2,0.3943132222162399
0,mhat_Q05,T3,0.387144558323667
0,mhat_Q05,T4,0.3957595356571675
0,mhat_Q05,T5,0.3905592529329656
0,mhat_Q10,T1,0.4545611750196525
0,mhat_Q10,T2,0.45787381340339295
0,mhat_Q10,T3,0.4526516706886911
0,mhat_Q10,T4,0.45787381340339295
0,mhat_Q10,T5,0.4552448937653727
0,mhat_Q20,T1,0.5348758001055849
0,mhat_Q20,T2,0.5370717177379851
0,mhat_Q20,T3,0.5335569149281884
0,mhat_Q20,T4,0.5382524761767677
0,mhat_Q20,T5,0.5349378670492562
0,mhat_Q30,T1,0.5924216729661931
0,mhat_Q30,T2,0.5920543009160546
0,mhat_Q30,T3,0.590932150572371
0,mhat_Q30,T4,0.5925194390562714
0,mhat_Q30,T5,0.5919354937335902
1,mhat_Q05,T1,0.40579332316285605
1,mhat_Q05,T2,0.40096022986816954
1,mhat_Q05,T3,0.40042672260858353
1,mhat_Q05,T4,0.4012488257994318
1,mhat_Q05,T5,0.4039125467207338
1,mhat_Q10,T1,0.46490011790894015
1,mhat_Q10,T2,0.45997906127729843
1,mhat_Q10,T3,0.46040663500739526
1,mhat_Q10,T4,0.4589483737249905
1,mhat_Q10,T5,0.4607741491947886
1,mhat_Q20,T1,0.538349779831925
1,mhat_Q20,T2,0.5353695610381821
1,mhat_Q20,T3,0.5340840589820374
1,mhat_Q20,T4,0.5327110911531283
1,mhat_Q20,T5,0.5336785322810812
1,mhat_Q30,T1,0.5936756391479028
1,mhat_Q30,T2,0.589882004977295
1,mhat_Q30,T3,0.5895240003449782
1,mhat_Q30,T4,0.5860789427545237
1,mhat_Q30,T5,0.5897581378383219
2,mhat_Q05,T1,0.40417019628056633
2,mhat_Q05,T2,0.40516774110370374
2,mhat_Q05,T3,0.40298508504378583
2,mhat_Q05,T4,0.4058773643169369
2,mhat_Q05,T5,0.4074071622938472
2,mhat_Q10,T1,0.46193293903608873
2,mhat_Q10,T2,0.461175719363143
2,mhat_Q10,T3,0.45746433740559295
2,mhat_Q10,T4,0.4620022423491016
2,mhat_Q10,T5,0.4637206070415065
2,mhat_Q20,T1,0.5431986399391244
2,mhat_Q20,T2,0.540350059437321
2,mhat_Q20,T3,0.5399392281227886
2,mhat_Q20,T4,0.5409116820871551
2,mhat_Q20,T5,0.5409116820871551
2,mhat_Q30,T1,0.600221512396314
2,mhat_Q30,T2,0.5985836788470743
2,mhat_Q30,T3,0.5962452494218894
2,mhat_Q30,T4,0.5984305951135571
2,mhat_Q30,T5,0.598471095481409
3,mhat_Q05,T1,0.3966891936755256
3,mhat_Q05,T2,0.3950795578059102
3,mhat_Q05,T3,0.39545818800916654
3,mhat_Q05,T4,0.400694393716789
3,mhat_Q05,T5,0.39478131672719885
3,mhat_Q10,T1,0.4595163692314582
3,mhat_Q10,T2,0.45924280428057274
3,mhat_Q10,T3,0.45739436409283246
3,mhat_Q10,T4,0.4597828448843247
3,mhat_Q10,T5,0.45719912291605724
3,mhat_Q20,T1,0.5360377967882394
3,mhat_Q20,T2,0.5366857420537999
3,mhat_Q20,T3,0.5347598236226965
3,mhat_Q20,T4,0.5343724672061124
3,mhat_Q20,T5,0.5344527055728187
3,mhat_Q30,T1,0.5899685590721229
3,mhat_Q30,T2,0.591855725671991
3,mhat_Q30,T3,0.5898551772266214
3,mhat_Q30,T4,0.5895514391062259
3,mhat_Q30,T5,0.5904102190523643
4,mhat_Q05,T1,0.405583579699528
4,mhat_Q05,T2,0.40694729312838446
4,mhat_Q05,T3,0.4036429838875798
4,mhat_Q05,T4,0.40463156366698017
4,mhat_Q05,T5,0.40363350397549297
4,mhat_Q10,T1,0.46494712949424055
4,mhat_Q10,T2,0.46601994733410773
4,mhat_Q10,T3,0.46481436881286675
4,mhat_Q10,T4,0.46449999676025083
4,mhat_Q10,T5,0.46122337748425996
4,mhat_Q20,T1,0.5382942731766988
4,mhat_Q20,T2,0.5385456864682571
4,mhat_Q20,T3,0.5359136710887225
4,mhat_Q20,T4,0.5369158203503815
4,mhat_Q20,T5,0.534603408366977
4,mhat_Q30,T1,0.5915493115703937
4,mhat_Q30,T2,0.5918404770895169
